50
           1  4.9999999E-03
           2  3.7999999E-02
           3  0.1370000    
           4  0.3450000    
           5  0.7140000    
           6   1.297000    
           7   2.153000    
           8   3.340000    
           9   4.920000    
          10   6.957000    
          11   9.512000    
          12   12.64900    
          13   16.43200    
          14   20.92200    
          15   26.18300    
          16   32.27400    
          17   39.25700    
          18   47.18800    
          19   56.12600    
          20   71.54000    
          21   83.23100    
          22   96.11400    
          23   110.2370    
          24   125.6460    
          25   142.3850    
          26   160.4960    
          27   180.0180    
          28   200.9890    
          29   223.4410    
          30   247.4080    
          31   272.9190    
          32   300.0000    
          33   328.6750    
          34   358.9660    
          35   390.8930    
          36   424.4700    
          37   459.7120    
          38   496.6300    
          39   535.2320    
          40   575.5250    
          41   617.5110    
          42   661.1920    
          43   706.5650    
          44   753.6280    
          45   802.3710    
          46   878.6200    
          47   931.5240    
          48   986.0670    
          49   1042.232    
          50   1100.000
