42
           1  1.0500000E-02
           2  2.4000000E-02
           3  5.2200001E-02
           4  0.1090000    
           5  0.2190000    
           6  0.4250000    
           7  0.7978000    
           8   1.090000    
           9   1.491000    
          10   2.060000    
          11   2.871000    
          12   4.041000    
          13   5.746000    
          14   8.258000    
          15   11.97000    
          16   17.43000    
          17   25.49000    
          18   29.72000    
          19   34.67000    
          20   40.47000    
          21   47.29000    
          22   55.29000    
          23   64.67000    
          24   75.65000    
          25   88.50000    
          26   103.5000    
          27   121.1000    
          28   141.7000    
          29   165.8000    
          30   194.0000    
          31   227.0000    
          32   265.0000    
          33   308.0000    
          34   356.5000    
          35   411.1000    
          36   472.2000    
          37   540.5000    
          38   616.6000    
          39   701.2000    
          40   795.0000    
          41   898.8000    
          42   1013.000 
